epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.685,2.63145,3.72002,1.88681,0.00494,0.21388,0.01847,0.00799,2.6289,4.41966,1.88752,0.000407197,0.000407197,0.000407197
2,551.564,2.45781,2.96515,1.6732,0.12102,0.0754,0.05858,0.01495,2.81203,4.15567,2.20649,0.000807551,0.000807551,0.000807551
3,806.44,2.46461,2.91322,1.68288,0.05877,0.16959,0.06296,0.02229,2.47933,6.89498,1.95591,0.00119141,0.00119141,0.00119141
4,1062.05,2.41802,2.81494,1.68654,0.20089,0.10617,0.08062,0.02073,2.91133,4.75799,2.38544,0.00117575,0.00117575,0.00117575
5,1319.74,2.37932,2.74558,1.64816,0.4201,0.24249,0.12344,0.03822,2.51275,4.90953,1.98508,0.001151,0.001151,0.001151
6,1575.28,2.3436,2.57996,1.60962,0.11085,0.17493,0.07805,0.02749,2.77891,3.40587,2.0605,0.00112625,0.00112625,0.00112625
7,1830.25,2.32608,2.62127,1.64212,0.29761,0.11679,0.11074,0.03975,2.46422,2.99572,1.86529,0.0011015,0.0011015,0.0011015
8,2085,2.30054,2.46935,1.60632,0.17191,0.19138,0.0887,0.02992,2.67565,3.00336,2.00471,0.00107675,0.00107675,0.00107675
9,2339.12,2.28929,2.41769,1.59926,0.23966,0.23024,0.13279,0.04483,2.57637,2.9826,2.03355,0.001052,0.001052,0.001052
10,2594.96,2.25605,2.36166,1.56633,0.2089,0.22812,0.1721,0.07005,2.34287,2.98329,1.80397,0.00102725,0.00102725,0.00102725
11,2849.05,2.23052,2.30513,1.56396,0.27135,0.19278,0.15576,0.05849,2.56167,2.84797,2.05146,0.0010025,0.0010025,0.0010025
12,3066.43,2.22833,2.24633,1.54987,0.2378,0.1738,0.12844,0.04481,2.45632,3.19673,1.83116,0.00097775,0.00097775,0.00097775
13,3276.31,2.18747,2.19177,1.53277,0.30909,0.23095,0.18957,0.07034,2.52478,2.76309,1.9842,0.000953,0.000953,0.000953
14,3486.52,2.17657,2.11515,1.54432,0.33846,0.1742,0.15942,0.05895,2.45373,2.64403,1.90906,0.00092825,0.00092825,0.00092825
15,3697.09,2.19624,2.08679,1.54022,0.18782,0.22304,0.12883,0.05018,2.52645,2.77686,1.90932,0.0009035,0.0009035,0.0009035
16,3906.17,2.16756,2.07089,1.5279,0.34329,0.23563,0.23315,0.07975,2.5873,2.70849,1.99297,0.00087875,0.00087875,0.00087875
17,4120.18,2.17911,1.99719,1.48441,0.2292,0.19584,0.15586,0.06311,2.52012,2.78507,1.95569,0.000854,0.000854,0.000854
18,4333.08,2.12407,1.97934,1.4961,0.34308,0.20699,0.17801,0.06839,2.54056,2.78783,2.06005,0.00082925,0.00082925,0.00082925
19,4551.64,2.12041,1.93292,1.48935,0.22234,0.31699,0.20427,0.07036,2.34783,2.62073,1.78173,0.0008045,0.0008045,0.0008045
20,4772.18,2.11037,1.94301,1.47743,0.3934,0.23054,0.21084,0.06018,2.60652,2.61678,2.04698,0.00077975,0.00077975,0.00077975
21,4993.83,2.09601,1.88546,1.45012,0.39347,0.21953,0.22495,0.0776,2.61179,2.57467,1.98111,0.000755,0.000755,0.000755
